Positive Comments	Negative Comments
She is considerate and also explains the lesson and instructions thoroughly.	None.
She is organized and planned every activity, laboratory and quizzes. She is always on time.	none
She explain the lessons well and give as explanation when we don't get it. She give as a lot of time for our plates.	none
She kind and a great teacher. Very easy to approach to and great at explaining the lessons.	N/A
Teaches regularly	Sometimes lacks enthusiasm
Our instructor's online lessons are easy to understand and she also have good personality which makes us students listen to her consistently.	If there is something that our instructor needs improvement of, it will be having a more patience for us in teaching. But she already has plenty of patience for us, so I think that there are no complaints as for now.
She teaches the lessons well, and it is easy to understand	As of now, I don't see any negative comments about her teaching
She handles the schedule wisely, balancing between synch and asynch classes given there's face-to-face classes.	She doesn't seem to manifest expertise of the subject she's teaching.
She is kind and considerate	Sometimes when she discussed something I didn't understand because she is fast when discussing the topic.
Our instructor is very informative.	None since our instructor give a lot of resources when it comes to our lesson/ topic
He treated us well and gave good instructions.	It's just a bit difficult to understand the lecture video because sometimes I generate questions about the topics.
He discuss all the lessons well	None
She discuss all the lessons well	None
She's considerate and always willing to explain.	I think Ma'am Shanne need to slow down a bit in discussing topics.
Our instructor explains the lesson very well. She is kind and approachable to her students.	I don't have any negative comments about our instructor.
He digs deeper on the topic.	I think it would be better if Sir Daniel can give us online review sessions before quizzes or exams.
none	none
Engr. Baynas is accountable instructor, whenever we have a question, she answers it right away.	None.
Engr. Villena is kind and approachable instructor.	None.
She explains every lesson well and give assessments after very topic.	None.
Ms. Shanne is approachable. Whenever we have questions, she always answer it in a way that we can understand a topic better.	Sometimes, there are confusing topics and Ms. Shanne also gets confused too but its okay because she can identify a mistake, and the she shares it to us.
excellent teaching, professionalism, and approachable	none
none	None
Good at explaining the lessons making it easy to understand.	Nothing.
Discusses every lecture in the scope of each topic and gives supplemental information. Provides questions to grasp the concepts as well as various sample problems or computations as possible and allows students to equally participate in online discussions.	None
She's giving online activities related to the topic which allows us to understand the lesson.	None.
Our prof is very kind, she teaches everything she knows as well as her techniques on how to do them, she is responsible for her duty like if we have a question, she answers immediately or if we have difficulty doing the task, she will teach the lesson again so we can get it right away. And also, she also concerned to her students.	None
She always does her best for us to understand the concept well, and also hands-on whenever we conduct face-to-face laboratory.	Sometimes, she needs to control her temper.
She is a nice and considerate professor	none
Detailed in lecturing	n/a
Our prof is very kind, she teaches everything she knows as well as her techniques on how to do them, she is responsible for her duty like if we have a question, she answers immediately or if we have difficulty doing the task, she will teach the lesson again so we can get it right away.	Sometimes, during Face-to-face classes, sometimes her voice gets weak which causes other students not to focus because they are not listening to what she is teaching. Those at the front of the class understand better than those at the back.
He elaborate every activity that we will be doing	none
He's explaining the topic very well.	None.
very professional	none
Mr. Culla can explain a topic very well. He is detailed and on-point.	It was difficult to learn during an asynchronous class.I think this can be improved through making classes interactive.
He is approachable and very detailed in explaining.	Because we have asynchronous classes, it can be difficult to keep up with the lessons because there are so many pointers to remember.
He's professional and very experienced instructor.	Nothing.
Elaborately discusses the lessons	none
Our prof is very kind, she teaches everything she knows as well as her techniques on how to do them, she is responsible for her duty like if we have a question, she answers immediately or if we have difficulty doing the task, she will teach the lesson again so we can get it right away.	None
She's good. She ensures that we get to understand the discussion before giving as a plate activity. And even before she give us an activity, she's also showing on how to do it with some examples that we can follow through.	none
She is good at her work	None
Always on time, Easy to communicate, and I can't feel any boredom when she teach.	None
Gives time to absorb the topics discussed	The phasing for the lectures are too fast to be absorbed, only few can be maintained for a minimal time given.
She always announces important things ahead of schedule.	None
The instructor is approachable and friendly.	None
She is making sure that her students understands the concept of a topic	Sometimes can be too strict.
Giving us more clear teaching and never ignore our concern or problems about the lectures.	Nothing
She makes sure that the students are well-engaged in the discussion. She catches the attention of the students.	N/A
She discuss all the lessons well	None
She is good at teaching and it becomes easier for us students to understand the lessons. At the same time, she is also kind and gets along well with us students.	None
She adjusts the due date for the plate if necessary.	None.
She allows scientific calculator apps for students who doesn't have one but always reminding us that we need a scientific calculator for upcoming midterm exams.	None.
He ensures that we can gain knowledge from the topic.	None.
She devoted her attention and time to her work and no time were missed on her subject.	None.
None	None
He explains topics neatly and in detail and she is good at time management because she c teach topics in enough time.	Nothing
Can be contacted easily	She just reads the lecture slides, even in face to face classes.
none	none
HE CONDUCTS CLASSES REGULARLY	I THINK HE SHOULD EXPLAIN OUR LESSONS PROPERLY SO ALL OF US CAN UNDERSTAND THE LESSON
Good teaching skills, he can explain the topic clearly	none
Explains the lessons well.	None
Sir Ahriz wants us to really understand what he is teaching. He always tries to teach what is the proper way of solving and emphasizes the misconceptions.	Sir Ahriz is hot-headed.
Clear teaching	Nothing, in fact, his teaching methods are effective.
He explains every lesson in details	Sometimes he seems agitated when we don't know the answer
He's very undestanding and gives us alot of time to prepare for activities	The audio quality of his videos is sometimes bad, he's not audible sometimes. He only shows our scores in quizzes.
She's a good teacher. She make sure that everyone understand her lesson.	none
He teaches well.	The content of the quiz is extremely complicated and different from the examples he had given.
He's a good instructor, he explains the lesson clearly and give different examples for us to understand	none
He is a good teacher, he is good in teaching. He make the discussion easy to understand.	None
The instructor explained the lesson clearly and discussed the topic one-by-one for us to be able to understand it properly.	He is quite strict, and I found him unapproachable since I am intimated by his presence. Sometimes I hesitate to ask him something about the lesson like when I want to clarify about the topic since I am afraid on how he will react.
She is actually a very kind instructor so students are having fun or aren't afraid to ask questions.	For me I think the one thing that needs improvement is how she teaches as it is unclear sometimes and etc.
Our instructor gives a lot of examples for us to understand the topic more.	He tends to be mad easily and if not in the mood the discussion turns out to be really scary making us afraid to ask questions and etc.
Sir Ahriz is the type of teacher who will not simply teach but also correct you, and he is good at educating us.	As of now, there's no need for improvement to be said about my instructor.
Keep it up	None
Very professional	Sir, we need your gmeet recordings. You record but forget to upload in Google classroom.
Good way of teaching	He could've and should've provide more complicated questions on the activities and exercises, and he should show how to solve complicated problems on class as an example. so we will be more ready on complicated problems on mid term and quizez
Keep it up	None
considerate	none
My instructor uploaded videos about our subject when he cannot meet us through online class because of heavy rains cause by storms or typhoons. He also update us about our activities to be submitted and also he is a good teacher in UNDERSTANDING THE SELF (UTS).	None negative comments so far, cause as far as I knew he is a good teacher because he gave us some consideration about our grades or activities.
Our instructor is a very good instructor she teaches us in a way that we understand it.	She teaches a little bit fast.
Our instructor is very great in teaching he is quite strict sometimes but it is for our sakes though. I easily understand the lesson he is teaching and im not having trouble learning in his class	none
She explain everything about the topic.	None
She's kind and she deliver the lesson clearly	none
G_10's discussions are always clear and detailed. He is also open to corrections, especially from his students. I also commend his strictness since it reminds me that I must also be strict with myself and take this subject seriously.	I found that G_10 is a bit short-tempered. The class is like walking on eggshells when attending his classes. Although this helps us be reminded that college is not just something you can graduate from without effort, it's just that I find it uncomfortable to focus knowing that one wrong response may make G_10 irritated.
She's good	None
Engaging, kind	How fast she teach a certain topic.
MASIPAG HO, SAKA MAY KAPA SA MGA ESTUDYANTE NA DI MASYADONG TECHY KAGAYA KO	WALA NAMAN PO
He is a hardworking instructor	His attitude, because he's always in bad mood and easily to get mad.
He is strict and very detailed about his discussions. He explains the lessons very well and give us exercises to answer that may help us to understand the topic more.	He can be quite intimidating at times, causing my entire body to shiver, literally. Given that he is strict, students sometimes fear to answer him. Also, rulers and calculators are not allowed during examinations.
None	None
He's kind and he can deliver the lesson clearly.	None
I like how he conducts his class as recorded videos. I think I can adapt to his introverted style of teaching because I enjoy watching his lectures and his one-liner puns or dad jokes.	It's not negative, but I think classes can be well-established if there will be more sharing after watching the class, instead of activities, but overall I think it is a great subject.
His optimistic personality kinda uplifts the vibe of the class to make it more fun	I think the on point examples can be improved more
He is kind and give long period for every submission of our activity.	He's classes are always recorded video and for me it's not good way of teaching because there is no interaction with the students and instructor.
Good at teaching things to remember: mathematical rules or his own set of rules for answering with solutions.	Too fast (maybe because he is good at math) and does not give complex examples similar to or close to the given in his exams. Also, he often includes concepts or equations he did not teach nor have given an example during a discussion, in the exam. In addition, he prefers to have very detailed solutions that shall be identical to his, or else points would be deducted. But in math, I believe only final answers would matter and the solutions does not need to be the same as our professors and does not need to be as detailed or intricate as long as the final answer is correct.
He is passionate about his job and it shows through overtime lectures	Too much activities with questions or examples that are far from the ones he taught us.
She is very elaborative, provides the general concept of the lesson with clarity. She introduces a lesson in a way that we are able to understand so that we can use that simple knowledge to further advance and relate it to the main lesson.	I believe peer pressure is a factor for having difficulties in understanding a lesson. Competition within a classroom is a difficult challenge students may encounter. It would be very distracting for the student to have a grasp of the concept when another student answers the given with little time. For me, it would bring an ease during discussion when students are all given a chance to answer, giving time for others to understand before advancing to a new topic.
-	-
He is approachable in F2F and Online class.	N/A
My positive impression of my instructor is that he is very committed to what he is teaching and very passionate about his work.	It's not that bad, but my instructor teaches for 5 hours and not all students can absorb the topic because they're drained from listening and focusing on their laptop for 5 hours.
-	-
My instructor is kind and very hard-working, and heâ€™s approachable when it comes to students who are asking him questions.	none
very accommodating	n/a
Ma'am Sarah is a kind of instructor who's considerate and effective teacher, she makes it easy for us to understand our lessons by discussing it clearly and detailed as possible.	None
KIND	NONE
He makes sure that the students can gain knowledge from the specific topic or lesson.	None
Our instructor always gives recaps from the previous lessons from the past meeting so he can assess if we will be able to continue to the next topic.	None
She's very knowledgeable, kind, and considerate.	None so far.
The positive thing about our instructor is that Sir always knows the lesson even without having a copy of the lesson, he is quick in thinking of an example. He is good at mental computation.	The things that need improvement from sir is his consideration in a way of he can be easy to talk and ask to about the lessons. The continuous lesson felt overwhelming, wish we have a minute to rest our minds from countless computations. It would have been better if we can talk to Sir without us being afraid of getting misunderstood. In addition, wish we could have time to take notes and practice the examples in class time, so we could verify our answers and correct them if not. That way, we could address our concerns more about the lesson.
PROVIDING MATERIALS WELL	-
I can give a lot of positive comments about our instructor. I enjoy how she instructs us. Her voice is soothing and smooth, which I appreciate. This may be weird but, I love Ma'am Shane's laugh, too! You can tell she's a calm, kind person whenever she speaks. She never makes us feel as though our answer is incorrect. Instead, she guides us and provides us a chance to identify the correct answer in her lessons. She provides clear, thorough explanations of everything about her lesson so that we may comprehend her and the lesson easily. I appreciate her because of how skillfully she teaches; not boring and not the kind of instructor of the class that you'd be afraid to attend.	So far, I can't see any negative things about our instructor. But, I think there's a need of improvement when it comes to our instructor's lesson materials. I would like to suggest using a new PowerPoint template. I've noticed that our instructor is using an old PowerPoint template; it doesn't really matter as long as the lesson is explained clearly, but I believe students would enjoy the class more if the material being presented online was new and gave off a productive vibe.Â 
He is good at explaining the topic, He always show an example and explained it in easiest way.	More explanation
Our instructor use the time wisely and determined to teach her students. She makes the physics interactive where students are interested due to laboratories.	None
I like my instructor the way she teach us because I learned a lot about Mathematics in the Modern World	none
His mastery about the subject is evident because he can explain the lessons well	I think he needs to improve his socialization with the student because lots of student is having a hard time asking questions regarding the course because they are scared.
Maayos po niyang naituturo ang mga lesson sa klase.	none
He is good and give other exam-les aside from the module which is helpful to us.	none as of the moment
Maayos po niyang naituturo ang mga lesson sa klase.	none
Maayos po niyang naituturo ang mga lesson sa klase.	none
She teaches very clear that's why we understand the lessons.	nothing
He is very prepared, have a positive attitude, and patient with students.	Nothing
He provides his materials, along with solutions or partial solutions of the discussions.	Due to partial solutions, sometimes, it is hard to follow the topic
He is vey clear when teaching, always ask students if we have some questions or clarification, and patient with students.	nothing
None	Asynchronous Meeting
None	Need to do some synchronous meeting.
intelligent	easy examples, hard equations given during exercises and quizzes.
Considerate	None
Our instructors' teaching skills helps me to improve and develop	None
Approachable	None
Fluent	None
Detailed deliveration	Short-tempered
None.	None.
I can see that our professor is really into teaching and she do the job well	none
Kind and Approachable to her students	None
Kind and his way of teaching is really manageable	None
He do the job well, and he has good teaching skill where it can be easily understand.	none
She always discuss the topics clearly	the first lab activity was kinda long but she gave us enough time to finish it
He is a good professor.	Its not a negative but i think it's the thought that he didn't do synchronous class about a topic, and I think it's much intersting .
She clearly explains the topic and also provide examples. What I like the most is that she provides complete set of learning materials including the lesson recording that allow us to review and study the lesson again. She also approachable and I found her class a healthy learning environment since there is no pressure and intimidation from her.	Sometimes she failed to discuss some terms involved in the topic that is why I found it hard to understand the flow of the lesson, but it only happened once or twice. Overall, there was no extreme negative comments about her.
He is good at what he is teaching.	There are times that he becomes intimidating that it becomes hard for styudents to raise questions.
He is very intelligent.	The instructor easily gets irritated and is often gives intimidating vibes which affects the morale of the class, consumes time meant for the discussion and makes it hard for the students to ask questions.
He makes sure that everyone understands the topic. He constantly asks questions to measure our understanding and if answered wrong, he explains what the right answer is. Though he may seem serious and strict, I know that he is an effective instructor because, despite that, he just aims that all of us will pass the subject.	I hope that the examples in the ppt presentation in google classroom will include the answers in examples because sometimes I can't go on with the discussions while writing the solutions provided by Sir, and when I'm reviewing, I can't remember the solution that sir taught us and I don't have any basis.
She is passionate and inspiring.	nothing
She always provides lecture videos for every activity that she gives.	None
She is approachable and you can ask her for concerns. I am comfortable with her teaching style.	Sometimes, she will post a class work but give us only little time to do it. We find it hard since exams week is just right around the corner.
She is kind and always entertain our concerns. As a student, I feel comfortable asking her questions regarding CAD. I can also see that she really puts effort to make sure we understand the instructions before we begin the plate.	None so far.
She is calm when teaching.	None
him greeting us	audio interface
she's good in teaching	Nope
Ms. Myra is a fluent speaker, I love listening to her. Her lessons and materials (videos/modules) do help a lot in understanding the course.	None
all the discussions are well explained	none
Her teaching skills is understandable	None
Clear teaching style	None
She is very calm and have a clear voice while speaking english that made me more understand the topics better.	None
She is patient while discussing the lecture because of the noises around her because other instructors also conducts online classes same with her time.	None
Good at teaching/giving examples to further understand the concept	Can be quite fast when teaching and strict on post attendance due dates
She is detailed in discussing every lesson.	none
She have a good way to teach students. She do upload video discussions and module ahead of time for us to be able read and watch the lesson before having the online classes.	None
Ms. Myra teaches the subject very well and she is very approachable	.
He is passionate and determine to teach us. He gives comments/suggestions on what we can improve more.	nothing much.
He is detailed when it comes to lecturing because it helps us to understand more of the mathematical problem we encounter. He gives different examples of the problem we may encounter and teach us on how and what ways it should be done in solving the problem. He encourage the students to solve the problem with him.	None
THROUGH OUT THE WEEKS THAT HE IS OUR PROFESSOR, I FEEL THAT HE IS KIND, AND HAVE A FUNNY SIDE WITH HIS JOKES THAT MADE US LAUGH IN OUR SESSIONS. FOR ME, HE IS A GREAT DIFFERENTIAL CALCULUS PROFESSOR.	None
Ms. Laylo is considerate. She only gives as 1 activity per lesson that good for 1 week answering/preparing. It is such a huge help, since other subjects would also have 1 to 2 activities that we also need to accomplish within that week.	The faculty room where Ms. Laylo holds her online classes with us is always noisy. The other people in the room would sometimes have classes at that same time, or you'll hear them talking and laughing which is distracting, making it hard to understand what Ms. Laylo is trying to explain to us. Maybe Ms. Laylo can have a noise reduction device, or the people in the faculty room can minimize their voices as consideration to other instructors that also holds classes in that room.
magaling mag-english, considerate and good influence	dapat nagkakaroon din ng interaction sa students, nakakaantok ang klase
MAGALING MAGTURO SI SIR AHRIZ PAGDATING SA MATH	COMPLICATED ANG TEST ANLAYO NG TINURO NYA SA TEST. MASUNGIT PO
MALINAW MAGSALITA	MAGKAROON SANA NG ORAL LEARNINGS OR PAGRERECITE SA MGA STUDENTS
She teaches well and explains everything in a way her students will understand her pretty well.	She is in a noisy environment which makes it hard for us to understand her sometimes.
He is very good at explaining the topics that he is teaching and he makes sure we understand everything that he teaches. He is also very considerate with deadlines and with activities.	None.
Ms. Laylo knows thouroughly her topics at discussion. She sahres other materials from different sources so that we can understand our lesson much better.	I think Ms. Laylo should make the discussions more interactive.
Ma'am Gold is soft-spoken, she appreciates our works most especially when we reported last 2 weeks ago. She tries to help us understand the course more.	The background noise is sometimes unbearable.
Considerate	None
The instructor have a pleasing visual aid whenever there's a class. Explains lesson well.	Always have a continuous class, after one lesson, our instructor proceeds to another Lesson, botbhaving to rest our mind for a bit. It felt overwhelming sometimes.
Loves to praise.	Uses other materials rather than following what is in the module which makes the course more confusing and complex. Moreover, most of what she taught or included in her materials does not seem to appear on her given exams. The exam is not entirely related to what she taught in which most of the questions are unbeknownst to us.
He teaches the lesson detailed by detailed.	He sometimes extended our time on his subject.
teach well	none
I really appreciate and amaze in his way of teaching. The subject is undeniably hard, but he's making it easy for us to understand the lesson. He always make sure that everything is clear.	I have no negative comments about him.
Our instructor delivers the topic well and detailed for us students to learn the topic more efficiently.	None
Topics are clearly explained and examples are given to better understand the discussion.	None
teach well	none
She's good at explaining and teaching the lesson	none
He's good instructor that I have learned in this semester	none
Considerate	NAKA MASK HABANG NAGTUTURO HNDI MAPAKINIG NG AYUS
I can't clearly hear what she's saying because there might be a problem in her own microphone or laptop, but I'm thankful that she presents PowerPoint so I can read our topics.	She doesn't ask if the students (us) understands what she's saying when she's discussing lessons, and only asks at the end of discussion, so we tend to forget what we want to inquire. The voice is unclear because of speaker problems and the noise barriers are always present during discussion.
She's good at explaining the lesson	No negative comments but improvement in her work station is needed
She's have good pronunciation of word while teacher.	None
She's good on teaching	None
She is a good story teller.	I think the materials she discussed need to be uploaded in the google classroom for reference.
she's good at explaining things so that her students understand the lecture very well	sometimes the background, it's not very clear to hear the lecture if there's a lot of noise in the background
He's a good teacher	none
The topics are well defined and explained.	Audio quality.
None	None
She is good explainer.	none
None	None
Topics are clearly stated, with examples provided to better understand the concepts.	None
She talks to students about the importance of behaving disciplined.	She talks so fast and I don't understand what she's saying, hence I almost missed all the important discussions during our online class. And my classmates also feel the same but we failed to say this to Ma'am Abiera thinking that she might get offended. She also don't asks if we understand the lessons she discussed and that's kind of disappointing. In addition, she doesn't prepare PowerPoint presentation which makes the discussion more complicated and she doesn't record the video meeting.
Considerate	none
Considerate	none
He is so calm. He teaches us good and very patient. And he is not that so pressure because he always make sure that we are in a good situation.	He need to be more energize and I don't see any more negative about him
My instructor teach us the step by step procedure about different topics through her power point and also she give us different example for our better learning.	None
Explains each topic and provides examples to better understand it.	Audio quality should be improved because it causes some topics to be unclear.
She always wanted to have online sessions in our scheduled time for us to learn.	None
Finishes the class earlier.	Most or all of his discussions are already recorded and uploaded on Youtube.
Sir Ahriz is good at teaching complex topics under Differential Calculus subject, although strict and sometimes intimidating.	A little bit Patience and consideration for students will be much appreciated.
During her classes online, she always provides new learning ideas, one scenario is during our reporting, she always provides and correct us for those ideas that is unclear to us.	None
She discusses the lesson well and the topics she had discussed appears in the quiz.	There are too many background noises every time there is an online synchronous class, which makes it hard to comprehend her discussion.
She interacts and engages with the students.	There are too many background noises every time there is an online synchronous class, which makes it hard to comprehend her discussion.
She is good. I like the way she speak in English and very relax but serious	I think sometimes she did not elaborate or explain well the lesson we are tackling. She need to be more meaningful.
Sir Culla is considerate about the students situations which is very fulfilling in our part.	None, because I'm okay with our method of learning.
She discuss the lesson's well	None
Sir Ahriz knows every detail about his lessons. He answers all our questions and his way of teaching he encourages us to really understand every topic.	Sometimes, several lessons are only discussed briefly.
fun teaching	no recording of the meet
She discuss the lesson's well	None
She always provides power point for our references, additional references about the topic that may use for our basis. And additionally she also provides some videos about history for us to have gain more knowledge about the topic.	None negative comments so far
She's kind and discipline teacher.	She teaches so fast and her environment while she is teaching are very noisy so her audio is bit chaotic for me. The due of submission of her activities are so early.
Ms. Abiera discusses the topics clearly and elaborates it with examples and other situational instances. Sources and learning materials are also made available by her.	Although it is great that the class would be the ones to present and discuss the topics by group, I still find it insufficient. It would be nice if Ms. Abiera would state some of her comments about the topics presented by the groups, and elaborate more of the parts of the topics that were not discussed in deeper sense.
Even though our class is online, she's trying to communicate and socialize with us.	.
She is good and share her knowledge about other stuff that Is connected to our topic.	I think she needs to be more meaningful because sometimes the way she teach us the lesson was so fast.
My instructor provides learning references like power point and short videos about the topic for our basis and to gain more knowledge about the different topics.	My instructor does not record the lecture,to be used for our references and aside from this none to be added negative.
Our instructor discussed the topics in detailed for us students to learn the course efficiently.	None
I love her voice when teaching and the way she teaches. I love the way she makes quizzes as well.	I have no negative comments, but for improvement, if it is possible to have peaceful room for discussion because sometimes, we are hearing loud noises.
She didn't make too much activities	Her environment and background noise are so loud. Her audio is very chaotic .
-	-
Even though our class is online, she's trying to communicate and socialize with us..	.
She gives life lessons.	She is almost always inaudible. It is hard for the students to understand what she is saying which makes it hard for us to take note.
-	-
She is sharing some good life lessons	She is usually inaudible on my part. Usually because of mic problems and internet connection.
-	-
She Explains the module very clear	Nothing
She is a great speaker.	None.
She is very organized in assigning tasks and is very considerate with her assessments.	None
She is very knowledgeable about the topic that she's discussing, making her an effective instructor.	I have no negative comments.
funny sometimes	It just that sometimes it's kinda hard to understands what's she's teaching.i think she needed to elaborate more on the topic.rather than saying we already know it.soo most likely gonna move on to the next topic. Before we even able to understand that certain topic she teaches.
She teaches	Need to improve at giving instructions.like what's and how to do the activity she given.like she will give it out of knowhere and not elaborate what's the things that's supposed to be done.
Our instructor in this course elaborates and discusses the lessons clearly. He also gives breaktimes after every topic. The deadlines given for every activity allows us to work and study on it.	It would be okay to provide live solving of some mathematical problems
Like the way she speaks	I think she just need to improve on how she teaches us. Because most of the time she would read and then explain some part of the ppt. That shown in the screen. Kinda no interaction with us. She would only interact with us.when she finishes the lesson.
I like the part where she gave us what needed to be answered, and when we finished, we're going to put the solution into Google Drive. It seems that we can interact even in online classes. Furthermore, when she is discussing a certain problem, she always entertains us.	none
She explained the topic and some terminologies.	The problem is on us especially me because it is hard to take the knowledge and learned the lesson.
I like the part where she gave us what needed to be answered, and when we finished, we're going to put the solution into Google Drive. It seems that we can interact even in online classes. Furthermore, when she is discussing a certain problem, she always entertains us.	none
Clearly discusses the plates and instructions for AutoCAD	Criteria for plates are in a 3-point system with multipliers. For example, minor mistakes in accuracy is deducted 5 points from the total of 15 points. And minor mistakes in presentation is deducted 4 points from the total of 12 points. The overall total is only 45 points so minor errors can cost around 25% of the final grade. Therefore, margin of error is significantly low to get a high grade.
Detailed and fluent	None
I like the part when she lets us experience reporting. Additionally, when she tells us something that is related to our topic, it helps us to understand what she was trying to say.	none
Jolly	None
SHE TEACHES WELL	NONE
Our instructor is well-determined in teaching us despite the struggles in an online class.	Sometimes, our instructor's voice is not clear because of a problem with her internet connection. She also disappears when we are having an online class. But for me, it is understandable because she is facing a problem with her connection.
I liked the part when he divided the time between the discussion and the time when we could answer his activity before the class hour ended. And the part when he always has a recording that we can watch anytime and anywhere.	none
SHE TEACHES WELL	NONE
He can teach the lessons more clearly and efficiently	go easy on exercises and quizzes
I like the part when our attendance has a question that we will answer based on our own perceptions or own understanding. Also, the part when she uploads some videos that are related to our topic will help us to understand it well.	none
gives a true to life example that is relatable with the topics	louder speaking voice and clearer explanation
Explains clearly	none
lessons are pretty clear	None
Lessons were taught pretty clearly	None
Our instructor is approachable and kind. She has given us a lot of information and is knowledgeable about our course. Our instructor conducts her lessons in the manner of a friendly discussion with her students.	I often have difficulty inÂ understanding our instructor since she speaks so quickly.
Clear lessons	Mic is sometimes unclear
none	#NAME?
Clear lessons	None
Our instructor does a great job of sharing his knowledge in our class. He can discuss each lesson with ease. He is a compassionate teacher that is also considerate of his students' situations.	I hope next time he can give us clear instructions or announcement.
Our instructor gave us a lot of examples every time we were discussing. He makes sure that we will understand the concept of our topic.	I don't have any negative comments since he conducts classes regularly for us to understand our lesson.
OUR INSTRUCTOR IS VERY CLEAR AND SUBJECT AND STUDENT OBJECTIVE WHEN IT COMES TO OUR LECTURE	I DON'T SEE ANY NEGATIVE TRAITS ABOUT OUR INSTRUCTOR
Our instructor makes the lesson clear and he asks us if we understand the lesson before proceeding to the next one.	None.
Discusses the lesson.	None.
Discusses the lesson clearly and asks us if we have understand the lesson very well.	None
She is very understanding when it comes to her students	Nothing
The teacher is knowledgeable about the topics discussed, making it clearer for us to understand the topic.	The instructor needs a PowerPoint Presentation, because I can't read the topics easily when in class.
OUR INSTRUCTOR IS VERY GOOD AT LECTURING	SOMETIMES HER CONNECTION IS A BIT TERRIBLE AND ALSO HER TONE IS A BIT LOW
The instructor uploads the recorded video as soon as she can. The materials are also easy to read and understand.	Give more examples if possible.
She always elaborate the lesson if one of us doesn't gets it.	As of now, there's none
HE'S A BIT TALKATIVE	HE OVERSHARES BUT IN A GOOD WAY
The topics are easier to understand because the PPT is well done. There are also supplemental videos or materials added in Google Classroom that helps me understand the topics better.	The audio whenever we conduct online class is a bit messy because some of the other faculty members' voice are also heard. Sometimes, I cannot understand the instructor because of the background noise.
She explains every lesson very well.	Her accent, sometimes we cannot understand what she is saying because of her accent.
He is a very great instructor. I can understand the lessons clearly because of him.	None.
She is very good at speaking.	The content of our quizzes should be the ones she discussed.
kind and accommodating	teach quickly, give a lot of activities/ exercises
His instructions were very detailed and he explains each lesson very well even though some lessons were discussed using video presentation.	None
She is very kind.	None
She always attend her class	Not audible sometimes
she relates the example/lesson in way that we can easily understand	the background noise, it's very important to us to understand the lesson specially the explanation, we might lose our interest/ focus on the lesson if we're hearing unnecessary noise
Kind and good at teaching	None
kind	none
open-minded and kind	none
she really knows what she's doing, her explanation is good and understandable	maybe the way she teach us, she discuss the lesson way too fast or just my understanding is not really good at coping up that way. I want to tell her that not every students like me is fast learners like others. I wish to her to please discuss a bit slower for us to achieve what we want to learn about her lesson. thank you
She's very knowledgeable. Her voice is very calm and very catchy; there's really just something in her voice that makes me want to listen to her discussion.	Personally, I am not fond of professors who randomly call students as it kind of gives me anxiety. I was scared of her at first because she randomly called a student and asked so many follow up question.
She always find ways to be able to teach us	Sometimes we cant understand miss is saying because of speaking too fast and the words are like being eaten
she s teaches well and considerate	i dont think of negative comments but i suggest for improvement that make her powerpoint presentations more elaborate and understandable
Easy to approach and replies to concerns of the students.	none so far
She elaborates the lessons thoroughly.	Her signal kinda distracts the class hour.
She's kind and easy to approach.	She's not always audible whenever we're having online class.
He's always open for questions and confusions of his students regarding the lessons.	He's quite quick on teaching po.
He's always prepared and kind, he's one of my favorite professor so far.	Nothing.
The online discussions are posted in the g-classroom as promised and the topics were discussed well and easy to understand. Also, our instructor is very considerate and fair in terms of grades.	None
He is an excellent and detail-oriented professor	Maybe tell some jokes to keep the class entertained.
she is fun and she is very engaging. She is very effective instructor.	-
She's always willing to answer our questions and provide us with more examples.	I think it would be better if Ma'am Laylo can modulate her voice and slow down the discussion.
I admire her for being considerate. We asked her if she could move the reporting after the midterm exam and she agreed.	1. Her discussions are not too clear.  2. Sometimes, she stops mid-discussion to talk to someone. 3. There were so many items in our exam that she did not discuss (around 60-70%). I could only answer because I had a reviewer from another program. I feel like she's not the one who made our exam.
Kind	Not that engaging
She doesn't flood us with activities.	What she taught us is not the content of her quiz or exams.
His teaching methods are great, very clear and concise	Maybe you should not take teaching seriously.
None	None
Detailed discussion	none
Considerate	Nothing
Discipline and professional.	None
She is a thoughtful teacher who carefully considers how she presents the material.	None
she was very patient and supportive with everyone in class	None
very informative, kind and she updates us on the activities that must be done and completed, as well as if the class will be canceled due to whether and etc..	none so far
kind, able to explain well	The class meeting lasts three hours, where the gadgets cause eye strain.
kind, patient and considerate when there are activities or reporting that cannot be completed immediately	none so far
helps us to be a good person and applies stories to the lesson	Her speaking/deliverance of lesson is quite fast and soft.
Able to explain on every details, have a lecture video for advance reading, kind	none so far
very good	none
His Lesson videos are detailed, well explained, and has application on some terms.	None
His teaching is well explained, able to teach the lesson excellently	Sometimes he has something in his emotion, Sometimes he gets mad when someone made a mistake once.
She is pleasant and good at presenting the lessons.	Her audio during our meeting needs to improve.
She is good at teaching especially when we did not understand a certain topic she will go back and will explain it properly.	none
He's really smart. I like his teaching skills. I am able to learn more about calculus through his strategies of teaching.	He can be serious at times.
she's nice.	I suggest that she record our discussions.
Passionate, Make an effort	none
One thing I like about her is that she's making sure that every student that she handles understands the discussion, especially when we are face to-face. In addition to that, she is a very considerate instructor.	None
first of all she is very clever and very understanding instructor to our section, and she is very approachable and not intimidating	for me, I have no negative comments to her
He is approachable and never leaves any student behind.	For me, He discusses the lessons in rapid phase.
