Positive Comments	Negative Comments
All the topics being discussed were made clear	none
All the topics being discussed is helpful and made clearer to me	none
He oftenly shares information such as the working environment and the machines that we may encounter in the real workplace.	None
He is approachable.	None
practical in the way he teach, he also assess if students learned from his lessons	none
He's always organized and prepared in every meeting, he's great at explaining every part of the lesson and he always gave his students a break between classes in order to absorb the discussion and to refresh everyone's mind.	None
He is performing great as our instructor and is extremely hands-on.	None
Masaya magturo, mabait	None
The instructor is good of what he does. Explaining and elaborately discussing the topic of the subject.	n/A
Our professor is very considerate as he always ask us about our opinion.	None.
He always give us break time to help us absorb the topics.	None
approachable and explains the lesson well	none
He shared what he know about the topic and he relate it to the outside work or future work and he give some break	none so far
THE PROFESSOR HAVE MASTERY IN TEACHING THE SPECIFIC TOPICS, AND PROVIDE MINUTE BREAK AFTER EVERY TOPICS	THE DURATION OR DEADLINE OF AN ACTIVITY SHOULD BE BETWEEN 5 DAYS OR A WEEK AFTER IT IS GIVEN, BECAUSE THERE ARE ALSO ACTIVITIES IN THE OTHER COURSES.
She have a mastery in her field and she shared it to us and sometimes considerate	none so far
THE PROFESSOR HAVE MASTERY IN TEACHING THE TOPICS AND PROVIDES EXAMPLES TO BETTER UNDERSTAND THE CONCEPTS	NONE SO FAR
The professor has lot of knowledge that we learned he knows a lot of terms and lesson in this subject	So far nothing
Clearly explain the formulas in every topic	Nothing
The professor has lots of knowledge in this subject	Nothing
The professor has lot of knowledge and terms on this lesson	So far nothing
Nice, Kind and Considerate	None so far.
He gives his best in teaching us but the subject is hard so we need to make an effort as well.	the materials given are quite lacking but this can be compensated in watching video tutorials in youtube.
Knowledgeable on the subject matter and every lessons are well-explained.	None
Our professor is always patient of us when it comes to lectures	none
He makes his lectures easy to understand.	-
Engr Chua discussed the topics clear. She's also a considerate instructor.	-
Kind and Approachable	N/A
NICE PROFESSOR	NONE
The best po magturo.	None
He gives breaks during class to ensure that the students are not over saturated with the lessons. He also is very orderly in his use of the google classroom when uploading tasks, lessons and videos. He also makes use of the chat function very well for class discussions so the class does not end up with lots of dead air.	Sometimes the lectures take too long that even with the breaks, the students are still not able to focus at the end parts of the lesson. Only sometimes though.
He is approachable and good at elaborating things in discussion	None
Our instructor engages the class actively on discussions. Additionally, our instructor regularly gives breaks in between discussions to make sure that the class has a breathing room to allow us to catch up.	None.
Kind, patient, and approachable	none
Funny, Active, Always have activities, Lovely	Nothing
She can be considerate.	She rarely conducts synchronous classes due to personal reasons making it harder for us to digest each topics she provides.
